loop,x,y
0,-2.9593,16.7882
0,-3.0593,16.6882
0,-3.2593,16.6882
0,-3.4593,16.6882
0,-3.6593,16.6882
0,-3.7593,16.5882
0,-3.8593,16.4882
0,-4.0593,16.4882
0,-4.2593,16.4882
0,-4.4593,16.4882
0,-4.5593,16.3882
0,-4.6593,16.2882
0,-4.8593,16.2882
0,-5.0593,16.2882
0,-5.2593,16.2882
0,-5.3593,16.1882
0,-5.4593,16.0882
0,-5.6593,16.0882
0,-5.8593,16.0882
0,-5.9593,15.9882
0,-6.0593,15.8882
0,-6.2593,15.8882
0,-6.4593,15.8882
0,-6.5593,15.7882
0,-6.6593,15.6882
0,-6.8593,15.6882
0,-6.9593,15.5882
0,-7.0593,15.4882
0,-7.2593,15.4882
0,-7.3593,15.3882
0,-7.4593,15.2882
0,-7.6593,15.2882
0,-7.7593,15.1882
0,-7.8593,15.0882
0,-8.0593,15.0882
0,-8.1593,14.9882
0,-8.2593,14.8882
0,-8.4593,14.8882
0,-8.5593,14.7882
0,-8.6593,14.6882
0,-8.8593,14.6882
0,-8.9593,14.5882
0,-9.0593,14.4882
0,-9.1593,14.3882
0,-9.2593,14.2882
0,-9.4593,14.2882
0,-9.5593,14.1882
0,-9.6593,14.0882
0,-9.7593,13.9882
0,-9.8593,13.8882
0,-10.0593,13.8882
0,-10.1593,13.7882
0,-10.2593,13.6882
0,-10.3593,13.5882
0,-10.4593,13.4882
0,-10.5593,13.3882
0,-10.6593,13.2882
0,-10.7593,13.1882
0,-10.8593,13.0882
0,-11.0593,13.0882
0,-11.1593,12.9882
0,-11.2593,12.8882
0,-11.4593,12.8882
0,-11.6593,12.8882
0,-11.7593,12.7882
0,-11.8593,12.6882
0,-12.0593,12.6882
0,-12.2593,12.6882
0,-12.4593,12.6882
0,-12.5593,12.5882
0,-12.6593,12.4882
0,-12.8593,12.4882
0,-13.0593,12.4882
0,-13.2593,12.4882
0,-13.3593,12.3882
0,-13.4593,12.2882
0,-13.6593,12.2882
0,-13.8593,12.2882
0,-14.0593,12.2882
0,-14.1593,12.1882
0,-14.2593,12.0882
0,-14.4593,12.0882
0,-14.5593,11.9882
0,-14.6593,11.8882
0,-14.8593,11.8882
0,-15.0593,11.8882
0,-15.1593,11.7882
0,-15.2593,11.6882
0,-15.4593,11.6882
0,-15.5593,11.5882
0,-15.6593,11.4882
0,-15.8593,11.4882
0,-15.9593,11.3882
0,-16.0593,11.2882
0,-16.2593,11.2882
0,-16.3593,11.1882
0,-16.4593,11.0882
0,-16.5593,10.9882
0,-16.6593,10.8882
0,-16.7593,10.7882
0,-16.8593,10.6882
0,-17.0593,10.6882
0,-17.1593,10.5882
0,-17.2593,10.4882
0,-17.3593,10.3882
0,-17.4593,10.2882
0,-17.6593,10.2882
0,-17.7593,10.1882
0,-17.8593,10.0882
0,-17.9593,9.9882
0,-18.0593,9.8882
0,-18.1593,9.7882
0,-18.2593,9.6882
0,-18.3593,9.5882
0,-18.4593,9.4882
0,-18.5593,9.3882
0,-18.6593,9.2882
0,-18.7593,9.1882
0,-18.8593,9.0882
0,-18.9593,8.9882
0,-19.0593,8.8882
0,-19.1593,8.7882
0,-19.2593,8.6882
0,-19.3593,8.5882
0,-19.3593,8.3882
0,-19.4593,8.2882
0,-19.5593,8.1882
0,-19.6593,8.0882
0,-19.7593,7.9882
0,-19.7593,7.7882
0,-19.8593,7.6882
0,-19.9593,7.5882
0,-20.0593,7.4882
0,-20.1593,7.3882
0,-20.1593,7.1882
0,-20.2593,7.0882
0,-20.3593,6.9882
0,-20.4593,6.8882
