label,stroke,point,x,y,pen
HELLO 123,10,17,-5.75662,2.56014,1
HELLO 123,10,18,-5.71329,2.55347,1
HELLO 123,10,19,-5.67057,2.54331,1
HELLO 123,10,20,-5.62880,2.52961,1
HELLO 123,10,21,-5.58830,2.51236,1
HELLO 123,10,22,-5.54942,2.49154,1
HELLO 123,10,23,-5.51248,2.46712,1
HELLO 123,10,24,-5.47782,2.43907,1
HELLO 123,10,25,-5.44578,2.40739,1
HELLO 123,10,26,-5.41668,2.37203,1
HELLO 123,10,27,-5.39087,2.33298,1
HELLO 123,10,28,-5.36867,2.29022,1
HELLO 123,10,29,-5.35041,2.24371,1
HELLO 123,10,30,-5.33644,2.19345,1
HELLO 123,10,31,-5.32709,2.13940,1
HELLO 123,10,32,-5.32269,2.08154,1
HELLO 123,10,33,-5.32357,2.01985,1
HELLO 123,10,34,-5.51550,1.73595,1
HELLO 123,10,35,-5.70744,1.45205,1
HELLO 123,10,36,-5.89937,1.16815,1
HELLO 123,10,37,-6.09130,0.88425,1
HELLO 123,10,38,-6.28323,0.60035,1
HELLO 123,10,39,-5.93669,0.60035,1
HELLO 123,10,40,-5.59014,0.60035,1
HELLO 123,10,41,-5.24360,0.60035,1
HELLO 123,11,0,-4.88373,2.31975,0
HELLO 123,11,1,-4.84810,2.36506,1
HELLO 123,11,2,-4.80873,2.40508,1
HELLO 123,11,3,-4.76607,2.43989,1
HELLO 123,11,4,-4.72059,2.46959,1
HELLO 123,11,5,-4.67276,2.49425,1
HELLO 123,11,6,-4.62305,2.51395,1
HELLO 123,11,7,-4.57193,2.52879,1
HELLO 123,11,8,-4.51986,2.53885,1
HELLO 123,11,9,-4.46732,2.54420,1
HELLO 123,11,10,-4.41477,2.54495,1
HELLO 123,11,11,-4.36268,2.54116,1
HELLO 123,11,12,-4.31152,2.53293,1
HELLO 123,11,13,-4.26176,2.52034,1
HELLO 123,11,14,-4.21386,2.50347,1
HELLO 123,11,15,-4.16830,2.48241,1
HELLO 123,11,16,-4.12554,2.45724,1
HELLO 123,11,17,-4.08604,2.42805,1
HELLO 123,11,18,-4.05029,2.39492,1
HELLO 123,11,19,-4.01875,2.35794,1
HELLO 123,11,20,-3.99188,2.31719,1
HELLO 123,11,21,-3.97015,2.27275,1
HELLO 123,11,22,-3.95404,2.22471,1
HELLO 123,11,23,-3.94401,2.17316,1
HELLO 123,11,24,-3.94052,2.11817,1
HELLO 123,11,25,-3.94406,2.05984,1
HELLO 123,11,26,-3.95694,1.99698,1
HELLO 123,11,27,-3.97553,1.93849,1
HELLO 123,11,28,-3.99966,1.88459,1
HELLO 123,11,29,-4.02921,1.83547,1
HELLO 123,11,30,-4.06404,1.79136,1
HELLO 123,11,31,-4.10400,1.75245,1
HELLO 123,11,32,-4.14896,1.71895,1
HELLO 123,11,33,-4.19878,1.69108,1
HELLO 123,11,34,-4.25332,1.66904,1
HELLO 123,11,35,-4.31244,1.65304,1
HELLO 123,11,36,-4.37601,1.64328,1
HELLO 123,11,37,-4.44388,1.63999,1
HELLO 123,11,38,-4.38077,1.63809,1
HELLO 123,11,39,-4.31969,1.63228,1
HELLO 123,11,40,-4.26106,1.62239,1
HELLO 123,11,41,-4.20532,1.60823,1
HELLO 123,11,42,-4.15287,1.58963,1
HELLO 123,11,43,-4.10416,1.56641,1
HELLO 123,11,44,-4.05961,1.53839,1
HELLO 123,11,45,-4.01964,1.50540,1
HELLO 123,11,46,-3.98468,1.46725,1
HELLO 123,11,47,-3.95516,1.42377,1
HELLO 123,11,48,-3.93151,1.37478,1
HELLO 123,11,49,-3.91415,1.32010,1
HELLO 123,11,50,-3.90350,1.25956,1
HELLO 123,11,51,-3.90000,1.19297,1
HELLO 123,11,52,-3.90407,1.12017,1
HELLO 123,11,53,-3.91482,1.05977,1
HELLO 123,11,54,-3.93176,1.00355,1
HELLO 123,11,55,-3.95440,0.95152,1
HELLO 123,11,56,-3.98228,0.90367,1
HELLO 123,11,57,-4.01492,0.86002,1
HELLO 123,11,58,-4.05183,0.82059,1
HELLO 123,11,59,-4.09254,0.78537,1
HELLO 123,11,60,-4.13658,0.75437,1
HELLO 123,11,61,-4.18346,0.72761,1
HELLO 123,11,62,-4.23272,0.70509,1
HELLO 123,11,63,-4.28386,0.68683,1
HELLO 123,11,64,-4.33642,0.67283,1
HELLO 123,11,65,-4.38991,0.66309,1
HELLO 123,11,66,-4.44387,0.65763,1
HELLO 123,11,67,-4.49781,0.65646,1
HELLO 123,11,68,-4.55125,0.65959,1
HELLO 123,11,69,-4.60372,0.66702,1
HELLO 123,11,70,-4.65474,0.67876,1
HELLO 123,11,71,-4.70384,0.69482,1
HELLO 123,11,72,-4.75053,0.71522,1
HELLO 123,11,73,-4.79434,0.73995,1
HELLO 123,11,74,-4.83480,0.76903,1
HELLO 123,11,75,-4.87141,0.80247,1
HELLO 123,11,76,-4.90372,0.84027,1
