label,stroke,point,x,y,pen
?,0,38,0.41407,0.61037,1
?,0,39,0.39735,0.59034,1
?,0,40,0.38003,0.57075,1
?,0,41,0.36250,0.55125,1
?,0,42,0.34516,0.53147,1
?,0,43,0.32839,0.51105,1
?,0,44,0.31259,0.48963,1
?,0,45,0.29815,0.46685,1
?,0,46,0.28546,0.44236,1
?,0,47,0.27491,0.41579,1
?,0,48,0.26689,0.38678,1
?,0,49,0.26179,0.35497,1
?,0,50,0.26000,0.32000,1
?,1,0,0.23000,0.00000,0
?,1,1,0.29000,0.00000,1
A,0,0,0.00000,0.00000,0
A,0,1,0.30000,1.00000,1
A,0,2,0.60000,0.00000,1
A,1,0,0.12000,0.40000,0
A,1,1,0.48000,0.40000,1
B,0,0,0.00000,0.00000,0
B,0,1,0.00000,1.00000,1
B,1,0,0.00000,1.00000,0
B,1,1,0.03483,0.99834,1
B,1,2,0.06918,0.99340,1
B,1,3,0.10261,0.98522,1
B,1,4,0.13464,0.97394,1
B,1,5,0.16485,0.95969,1
B,1,6,0.19284,0.94268,1
B,1,7,0.21821,0.92313,1
B,1,8,0.24064,0.90130,1
B,1,9,0.25981,0.87750,1
B,1,10,0.27546,0.85204,1
B,1,11,0.28740,0.82527,1
B,1,12,0.29544,0.79754,1
B,1,13,0.29949,0.76925,1
B,1,14,0.29949,0.74075,1
B,1,15,0.29544,0.71246,1
B,1,16,0.28740,0.68473,1
B,1,17,0.27546,0.65796,1
B,1,18,0.25981,0.63250,1
B,1,19,0.24064,0.60870,1
B,1,20,0.21821,0.58687,1
B,1,21,0.19284,0.56732,1
B,1,22,0.16485,0.55031,1
B,1,23,0.13464,0.53606,1
B,1,24,0.10261,0.52478,1
B,1,25,0.06918,0.51660,1
B,1,26,0.03483,0.51166,1
B,1,27,0.00000,0.51000,1
B,2,0,0.00000,0.51000,0
B,2,1,0.03440,0.50869,1
B,2,2,0.06844,0.50478,1
B,2,3,0.10178,0.49831,1
B,2,4,0.13408,0.48933,1
B,2,5,0.16500,0.47796,1
B,2,6,0.19423,0.46429,1
B,2,7,0.22147,0.44848,1
B,2,8,0.24643,0.43069,1
B,2,9,0.26886,0.41109,1
B,2,10,0.28854,0.38989,1
B,2,11,0.30525,0.36730,1
B,2,12,0.31884,0.34356,1
B,2,13,0.32915,0.31892,1
B,2,14,0.33608,0.29361,1
B,2,15,0.33956,0.26792,1
B,2,16,0.33956,0.24208,1
B,2,17,0.33608,0.21639,1
B,2,18,0.32915,0.19108,1
B,2,19,0.31884,0.16644,1
B,2,20,0.30525,0.14270,1
B,2,21,0.28854,0.12011,1
B,2,22,0.26886,0.09891,1
B,2,23,0.24643,0.07931,1
B,2,24,0.22147,0.06152,1
B,2,25,0.19423,0.04571,1
B,2,26,0.16500,0.03204,1
B,2,27,0.13408,0.02067,1
B,2,28,0.10178,0.01169,1
B,2,29,0.06844,0.00522,1
B,2,30,0.03440,0.00131,1
B,2,31,0.00000,0.00000,1
C,0,0,0.49284,0.88302,0
C,0,1,0.47634,0.90451,1
C,0,2,0.45898,0.92402,1
C,0,3,0.44084,0.94147,1
C,0,4,0.42202,0.95677,1
C,0,5,0.40261,0.96985,1
C,0,6,0.38269,0.98063,1
C,0,7,0.36237,0.98907,1
C,0,8,0.34175,0.99513,1
C,0,9,0.32093,0.99878,1
C,0,10,0.30000,1.00000,1
C,0,11,0.27907,0.99878,1
C,0,12,0.25825,0.99513,1
C,0,13,0.23763,0.98907,1
C,0,14,0.21731,0.98063,1
C,0,15,0.19739,0.96985,1
C,0,16,0.17798,0.95677,1
C,0,17,0.15916,0.94147,1
C,0,18,0.14102,0.92402,1
C,0,19,0.12366,0.90451,1
C,0,20,0.10716,0.88302,1
C,0,21,0.09160,0.85967,1
C,0,22,0.07706,0.83457,1
C,0,23,0.06360,0.80783,1
C,0,24,0.05129,0.77960,1
C,0,25,0.04019,0.75000,1
C,0,26,0.03036,0.71919,1
C,0,27,0.02184,0.68730,1
C,0,28,0.01468,0.65451,1
C,0,29,0.00891,0.62096,1
C,0,30,0.00456,0.58682,1
C,0,31,0.00164,0.55226,1
C,0,32,0.00018,0.51745,1
C,0,33,0.00018,0.48255,1
C,0,34,0.00164,0.44774,1
