loop,r,z
0,-23.8593,9.0882
0,-23.9593,8.9882
0,-24.0593,8.8882
0,-24.1593,8.7882
0,-24.2593,8.6882
0,-24.3593,8.5882
0,-24.3593,8.3882
0,-24.4593,8.2882
0,-24.5593,8.1882
0,-24.6593,8.0882
0,-24.7593,7.9882
0,-24.7593,7.7882
0,-24.8593,7.6882
0,-24.9593,7.5882
0,-25.0593,7.4882
0,-25.1593,7.3882
0,-25.1593,7.1882
0,-25.2593,7.0882
0,-25.3593,6.9882
0,-25.4593,6.8882
0,-25.5593,6.7882
0,-25.5593,6.5882
0,-25.6593,6.4882
0,-25.7593,6.3882
0,-25.7593,6.1882
0,-25.8593,6.0882
0,-25.9593,5.9882
0,-25.9593,5.7882
0,-26.0593,5.6882
0,-26.1593,5.5882
0,-26.1593,5.3882
0,-26.1593,5.1882
0,-26.2593,5.0882
0,-26.3593,4.9882
0,-26.3593,4.7882
0,-26.3593,4.5882
0,-26.4593,4.4882
0,-26.5593,4.3882
0,-26.5593,4.1882
0,-26.5593,3.9882
0,-26.5593,3.7882
0,-26.6593,3.6882
0,-26.7593,3.5882
0,-26.7593,3.3882
0,-26.7593,3.1882
0,-26.7593,2.9882
0,-26.7593,2.7882
0,-26.7593,2.5882
0,-26.7593,2.3882
0,-26.7593,2.1882
0,-26.7593,1.9882
0,-26.7593,1.7882
0,-26.7593,1.5882
0,-26.7593,1.3882
0,-26.7593,1.1882
0,-26.6593,1.0882
0,-26.5593,0.9882
0,-26.5593,0.7882
0,-26.5593,0.5882
0,-26.5593,0.3882
0,-26.5593,0.1882
0,-26.4593,0.0882
0,-26.3593,-0.0118
0,-26.3593,-0.2118
0,-26.3593,-0.4118
0,-26.3593,-0.6118
0,-26.2593,-0.7118
0,-26.1593,-0.8118
0,-26.1593,-1.0118
0,-26.1593,-1.2118
0,-26.0593,-1.3118
0,-25.9593,-1.4118
0,-25.9593,-1.6118
0,-25.9593,-1.8118
0,-25.8593,-1.9118
0,-25.7593,-2.0118
0,-25.7593,-2.2118
0,-25.6593,-2.3118
0,-25.5593,-2.4118
0,-25.5593,-2.6118
0,-25.5593,-2.8118
0,-25.4593,-2.9118
0,-25.3593,-3.0118
0,-25.3593,-3.2118
0,-25.2593,-3.3118
0,-25.1593,-3.4118
0,-25.0593,-3.5118
0,-24.9593,-3.6118
0,-24.9593,-3.8118
0,-24.8593,-3.9118
0,-24.7593,-4.0118
0,-24.6593,-4.1118
0,-24.5593,-4.2118
0,-24.5593,-4.4118
0,-24.4593,-4.5118
0,-24.3593,-4.6118
0,-24.2593,-4.7118
0,-24.1593,-4.8118
0,-24.0593,-4.9118
0,-23.9593,-5.0118
0,-23.9593,-5.2118
0,-23.8593,-5.3118
0,-23.7593,-5.4118
0,-23.6593,-5.5118
0,-23.5593,-5.6118
0,-23.4593,-5.7118
0,-23.3593,-5.8118
0,-23.2593,-5.9118
0,-23.1593,-6.0118
0,-23.0593,-6.1118
0,-22.9593,-6.2118
0,-22.8593,-6.3118
0,-22.7593,-6.4118
0,-22.6593,-6.5118
0,-22.5593,-6.6118
0,-22.4593,-6.7118
0,-22.2593,-6.7118
0,-22.1593,-6.8118
0,-22.0593,-6.9118
0,-21.9593,-7.0118
0,-21.8593,-7.1118
0,-21.7593,-7.2118
0,-21.6593,-7.3118
0,-21.4593,-7.3118
0,-21.3593,-7.4118
0,-21.2593,-7.5118
0,-21.1593,-7.6118
0,-21.0593,-7.7118
0,-20.8593,-7.7118
0,-20.7593,-7.8118
0,-20.6593,-7.9118
0,-20.5593,-8.0118
0,-20.4593,-8.1118
0,-20.2593,-8.1118
0,-20.1593,-8.2118
0,-20.0593,-8.3118
0,-19.8593,-8.3118
0,-19.6593,-8.3118
0,-19.5593,-8.4118
0,-19.4593,-8.5118
0,-19.2593,-8.5118
0,-19.1593,-8.6118
0,-19.0593,-8.7118
0,-18.8593,-8.7118
0,-18.6593,-8.7118
0,-18.5593,-8.8118
0,-18.4593,-8.9118
0,-18.2593,-8.9118
0,-18.0593,-8.9118
0,-17.9593,-9.0118
0,-17.8593,-9.1118
0,-17.6593,-9.1118
0,-17.4593,-9.1118
0,-17.2593,-9.1118
0,-17.1593,-9.2118
0,-17.0593,-9.3118
0,-16.8593,-9.3118
0,-16.6593,-9.3118
0,-16.4593,-9.3118
0,-16.2593,-9.3118
0,-16.1593,-9.4118
0,-16.0593,-9.5118
